Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Magaly Belicosa,@Monikim,https://pbs.twimg.com/ext_tw_video_thumb/1786427234003116032/pu/img/6Z6tbBgCErcQfedd.jpg,92,621,41,30 mil,https://twitter.com/Monikim/status/1786764003651232169,https://twitter.com/Monikim,"Primero quiero decir que la blusa de la profe está bellísima.
Segundo, tiene razón, ayer la CSJ le hizo propaganda a Mulino.
Por último, la profe es una mujer muy inteligente y elocuente. No entiendo porqué le tiran tanto hate. 

Tírenle hate a Mulino oyeee!!",4 may.,2024-05-04T14:25:09.000Z
didii,@nahygutierrezzz,,104,396,8,10 mil,https://twitter.com/nahygutierrezzz/status/1787244136799559834,https://twitter.com/nahygutierrezzz,si gana mulino panamá se merece vivir en la basura y en la miseria.,5 may.,2024-05-05T22:13:02.000Z
Jesus Samaniego,@JesusS72740,,,,,,https://twitter.com/JesusS72740/status/1788111981372752022,https://twitter.com/JesusS72740,"Presidente de Panamá 
José Raúl Mulino
2024-2029 Felicidades  @JoseRaulMulino @rmartinelli",7s,2024-05-08T07:41:32.000Z
Carlos Tapia,@CarlosTaleg,,140,544,9,13 mil,https://twitter.com/CarlosTaleg/status/1786362242738307134,https://twitter.com/CarlosTaleg,Ey de verdad que si botas tu voto por Mulino quiero decirte que ERES PARTE DEL PROBLEMA,3 may.,2024-05-03T11:48:42.000Z
Luis Antonio,@espia1973,https://pbs.twimg.com/ext_tw_video_thumb/1787835422716108800/pu/img/T4WW5qUKDfnVend4.jpg,17,21,4,574,https://twitter.com/espia1973/status/1787877991042687257,https://twitter.com/espia1973,Ahora no estás de acuerdo payaso porque reconocen al nuevo presidente José Raúl Mulino. Y antes cuando la embajadora se reunió con toda la crema y nata de la podredumbre local ahí sí guardaban silencio tú y tus compinches difamadores.,15h,2024-05-07T16:11:44.000Z
wannabe,@notawannabetho,,265,841,5,20 mil,https://twitter.com/notawannabetho/status/1787240943587819664,https://twitter.com/notawannabetho,"Faltan 7,500 mesas por escrutar y yo estoy kb porque Mulino está ganando",5 may.,2024-05-05T22:00:20.000Z
José J. Céspedes,@jjcespedes68,https://pbs.twimg.com/ext_tw_video_thumb/1787468822200623104/pu/img/8TE4H6TGmUoOM2fp.jpg,51,118,93,18 mil,https://twitter.com/jjcespedes68/status/1787630323460714878,https://twitter.com/jjcespedes68,"Mulino no ha tomado el puesto y ya este pobre diablo, perdedor en 2 contiendas, habla de que van a comprar diputados.",6 may.,2024-05-06T23:47:36.000Z
Jackie Ramos Ho,@jackieramosho,,1 mil,2 mil,50,210 mil,https://twitter.com/jackieramosho/status/1786934535839478130,https://twitter.com/jackieramosho,"MI PAPÁ VERNON RAMOS LÓPEZ

DESPARECIDO POR RICARDO MARTINELLI BERROCAL, RAÚL MULINO Y EL RESTO DE SU BANCADA/ GESTIÓN GUBERNAMENTAL en 2012.
#PROHIBIDOOLVIDAR",4 may.,2024-05-05T01:42:47.000Z
M,@medardito,,180,957,56,30 mil,https://twitter.com/medardito/status/1786565271588598246,https://twitter.com/medardito,"Si algo puedo hablar bueno de Mulino es que el man es real!
 Un prepotente, arrogante, tirano.... El man no se hace pasar por buena persona (como el inútil de Martin por ejemplo) y luego sacar la verdadera cara, el man desde ya nos muestra que es un cara de verga.
Punto para él",3 may.,2024-05-04T01:15:28.000Z
SergioBecker,@SergioBecker14,,19,31,3,603,https://twitter.com/SergioBecker14/status/1787581326968713264,https://twitter.com/SergioBecker14,"DERROTA DE LOS COMUNISTAS.
Elecciones para Presidente de la Republica de Panamá dieron como triunfador a José Raul Mulino. Un anti-comunista social que prometió hacer un gobierno incentivando  la empresa privada sin olvidarse de los mas necesitados. Los comunistas fueron…",6 may.,2024-05-06T20:32:54.000Z
anap,@anapaolacvv,,31,109,5,3 mil,https://twitter.com/anapaolacvv/status/1787274606841135566,https://twitter.com/anapaolacvv,Y si todo el mundo está CABREADO quienes fueron los que FKN VOTARON POR MULINO?,5 may.,2024-05-06T00:14:06.000Z
Analida Martinelli,@analidamarti,,45,137,22,3 mil,https://twitter.com/analidamarti/status/1786362389639614716,https://twitter.com/analidamarti,JOSE RAUL MULINO CORRE EN LAS ELECCIONES DEL 5 de Mayo. FUE DISPUESTO POR LA CORTE Y NO HAY VUELTA ATRAS!! Prevaleció la sensatez y el buen juicio.,3 may.,2024-05-03T11:49:17.000Z
Daniel Coulson,@Danyc23,,124,921,64,28 mil,https://twitter.com/Danyc23/status/1785719662766141499,https://twitter.com/Danyc23,Lo mejor que le podría pasar a Panamá es que Mulino no pueda correr.,1 may.,2024-05-01T17:15:19.000Z
queen,@_frogirl,,72,441,2,10 mil,https://twitter.com/_frogirl/status/1786822925271638430,https://twitter.com/_frogirl,De verdad que tengo mucho miedo de que gane Mulino.,4 may.,2024-05-04T18:19:17.000Z
Sj,@SamuelF29M,,144,647,147,94 mil,https://twitter.com/SamuelF29M/status/1787114486744137842,https://twitter.com/SamuelF29M,"Mulino NO AGUANTA la presión de los medios, cómo hará si gana y el pueblo se le voltea en protesta?",5 may.,2024-05-05T13:37:51.000Z
Donna Pinciotti,@liamasssiel,,39,261,9,9 mil,https://twitter.com/liamasssiel/status/1785704604459585673,https://twitter.com/liamasssiel,Vamos a ver cuántos viejos que iban a votar por Mulino se mueren de aquí al domingo,1 may.,2024-05-01T16:15:29.000Z
Karliz,@kimlagual,,236,355,3,15 mil,https://twitter.com/kimlagual/status/1787278390333976957,https://twitter.com/kimlagual,si votaste x Mulino dame unfollow,5 may.,2024-05-06T00:29:08.000Z
Summer Zue,@Zue60,,72,258,11,14 mil,https://twitter.com/Zue60/status/1787251636068335674,https://twitter.com/Zue60,"Quiero que alguien me explique cómo es posible que Mulino este ganando en Bocas?

Sus muertos de la ley chorizo deben estar que se revuelcan en sus tumbas",5 may.,2024-05-05T22:42:50.000Z
Batson,@Mr_Batson,,14,79,8,3 mil,https://twitter.com/Mr_Batson/status/1787309307962228868,https://twitter.com/Mr_Batson,"Mulino hablando claro, toca darle el voto de confianza, digo ya le dieron la confianza a sus ex y vieron como les fue.",5 may.,2024-05-06T02:32:00.000Z
