Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Felipe Argote,@fargote507,,1,2,,258,https://twitter.com/fargote507/status/1789856412924821540,https://twitter.com/fargote507,"INMIGRANTES EN DARIÉN
¡Echa un vistazo al vídeo de FELIPE ARGOTE ECONOMIA Y SALSA! #TikTok",5h,2024-05-13T03:13:17.000Z
Caira Coquette,@CairaLovesOL,,,1,1,80,https://twitter.com/CairaLovesOL/status/1789855624202723482,https://twitter.com/CairaLovesOL,"Albertito tiene 1 proyecto de genealogía de la escuela y se puso a buscar información de los 7 hermanos de su abuelo paterno. Son inmigrantes italianos, pero todos ya han fallecido 
Hace 2 días localizó a 1 prima en Florida x FB y la contactó. La prima le responde anoche...",5h,2024-05-13T03:10:09.000Z
Christian Quiros,@Christi18059320,,,,,26,https://twitter.com/Christi18059320/status/1788543888233255289,https://twitter.com/Christi18059320,Pero esto es agenda 2030 inmigrantes mantenidos por los ciudadanos que pagan impuestos este Papa cada día es peor,9 may.,2024-05-09T12:17:47.000Z
María Urriola,@mcuesoka06,,,,,7,https://twitter.com/mcuesoka06/status/1788767566409736561,https://twitter.com/mcuesoka06,"Este IDIOTA de dónde salió ahora además de contener furias internas, tenemos que tolerar IDIOTAS de otro país, expresando sus barrabasadas, porque el negocio de inmigrantes ilegales se les cae. Definitivamente no hay derecho. OJO @ProtegeryServir @senafrontpanama",9 may.,2024-05-10T03:06:36.000Z
Jairo Aníbal Vásquez Pravia,@jvasqprav3323,,,,,8,https://twitter.com/jvasqprav3323/status/1789134998575989056,https://twitter.com/jvasqprav3323,"Todos los inmigrantes ilegales residentes en, o en transito por, Panama deber ser repatriados a sus paises y se debe militarizar la frontera con Colombia.",10 may.,2024-05-11T03:26:38.000Z
Giulia De Sanctis- hija de inmigrantes,@Gdesanctis,,,1,,19,https://twitter.com/Gdesanctis/status/1787125942495719433,https://twitter.com/Gdesanctis,,5 may.,2024-05-05T14:23:22.000Z
Leonidas1975,@Leonidas197521,,,2,,136,https://twitter.com/Leonidas197521/status/1789032269610467353,https://twitter.com/Leonidas197521,Bueno que bien que les pase por andar de populistas y llenandose de inmigrantes ilegales.  Ojalá se tomen mas territorios para lo que les falta ya,10 may.,2024-05-10T20:38:26.000Z
Robert A. Goodrich V.,@robteeusss,,,,1,181,https://twitter.com/robteeusss/status/1786927674742456599,https://twitter.com/robteeusss,Siempre he sentido curiosidad por esto. Ser ciudadano por el simple hecho de nacer en el país a pesar de que sus padres sean inmigrantes indocumentados en un tema migratorio bastante polémico y delicado que si merece un estudio y análisis de forma y fondo estoy de acuerdo con eso,4 may.,2024-05-05T01:15:31.000Z
Lord_kir17,@lord_kir17,"https://pbs.twimg.com/media/GNFdlgTXUAAQjK_?format=jpg&name=small, https://pbs.twimg.com/media/GNFdlgTXUAAQjK_?format=jpg&name=small",,,,70,https://twitter.com/lord_kir17/status/1788368087483371678,https://twitter.com/lord_kir17,"Panamá no debe dejarse porque el VAGO y guerrillero socialista Petro, no quiere hacer su trabajo, para encima mandar a miles de inmigrantes por una selva peligrosa, que además es un reserva natural. Es momento de exigir que Colombia haga su parte y límite el paso por ahí.",8 may.,2024-05-09T00:39:12.000Z
Rogelio Díaz Sanjur,@rogdiaz25,,,,,13,https://twitter.com/rogdiaz25/status/1789296027146600934,https://twitter.com/rogdiaz25,"Supongo que evaluaron el costo económico entre albergar  con todas,m sus prerrogativas a los inmigrantes contra el costo de repatriarlos, apoyo la idea de repatriarlos, así se corre la voz de que el que llega a Darién indocumentado lo envía de vuelta.",11 may.,2024-05-11T14:06:31.000Z
Gregfotos,@Gregfotos1,,,,,1,https://twitter.com/Gregfotos1/status/1788665001533702395,https://twitter.com/Gregfotos1,"Su país,España, hasta el cuello de inmigrantes agresivos, el gobierno actuando muy mal y ella metiendose en temas que no tiene ni la menor idea  como están, debe de estar ayudando a los suyos, y  ser una mejor patriota.",9 may.,2024-05-09T20:19:02.000Z
Ana Lorena Nation,@analo_19,,,,,125,https://twitter.com/analo_19/status/1788899985838202916,https://twitter.com/analo_19,"Lamentablemente y OJO que soy hija de extranjera y que costó MUCHÍSIMO A toda mi familia, poder hacerse camino aquí por la LEGAL...no es problema de Panamá, ni los panemños...el haberme enterado que más o menos 500Mil Inmigrantes pasaron por ahí ARRIESGÁNDOSE no es bueno #CIERREN",10 may.,2024-05-10T11:52:47.000Z
L Davila,@ldavila2014,,1,2,1,77,https://twitter.com/ldavila2014/status/1789321919499469146,https://twitter.com/ldavila2014,"Si nuestro vecino del Sur (Colombia) le importa un bledo con el flujo inmigrantes y nos los depositan rápidamente en el Darién, Panamá debe tomar medidas fuertes y buscar apoyo sibes necesario.",11 may.,2024-05-11T15:49:24.000Z
Reggie Rising,@reggieperez,https://pbs.twimg.com/media/GNFdlgTXUAAQjK_?format=jpg&name=small,,,,38,https://twitter.com/reggieperez/status/1788607222278193202,https://twitter.com/reggieperez,"Cuando gané Trump, que Mulino le pida ayuda para cerrar el Darién.  A ver que hace el terrorista de Petro con los inmigrantes si tanto le preocupan.",9 may.,2024-05-09T16:29:27.000Z
Matías González,@matagonzalez86,,,1,1,79,https://twitter.com/matagonzalez86/status/1789049262812115426,https://twitter.com/matagonzalez86,"Hay racismo pero creo yo que no es algo al nivel de Estados Unidos por ejemplo. Lo que más veo es violencia verbal a inmigrantes de países vecinos mezclado con clasismo. Pero en todos lados en menor o mayor medida hay racismo. En los medios, en la policía, etc.",10 may.,2024-05-10T21:45:57.000Z
Farida Bhiku de Daly فريدة,@faridadaly,,,2,,13,https://twitter.com/faridadaly/status/1788758618172486082,https://twitter.com/faridadaly,"Así es!! Los inescrupulosos lo han convertido un negocio a costillas de la necesidad de las personas inmigrantes, buscando un mejor futuro.",9 may.,2024-05-10T02:31:02.000Z
Cesar Kam (Nieto de inmigrantes),@kamot,,,,,15,https://twitter.com/kamot/status/1787573539043737651,https://twitter.com/kamot,Putin asesino,6 may.,2024-05-06T20:01:57.000Z
Giulia De Sanctis- hija de inmigrantes,@Gdesanctis,,,,,22,https://twitter.com/Gdesanctis/status/1789839061403795602,https://twitter.com/Gdesanctis,Felicidades,6h,2024-05-13T02:04:20.000Z
Hugo E. Arjona A.,@ArjonaHugo,,,,,160,https://twitter.com/ArjonaHugo/status/1787998099354325064,https://twitter.com/ArjonaHugo,"Estos inmigrantes principalmente del medio oriente son lisos, no entiendo porque no se van a Arabia Saudita, Irán etc hablan el mismo idioma y la misma religión.",7 may.,2024-05-08T00:09:00.000Z
Jose Mendieta,@Hexen_II,,,1,,31,https://twitter.com/Hexen_II/status/1788781601024803115,https://twitter.com/Hexen_II,"Desde YA, mandar el memo a Colombia, informándole que la frontera será cerrada, para que vayan pensando, que van a hacer con los inmigrantes ilegales, xq acá, NO van a entrar.",9 may.,2024-05-10T04:02:22.000Z
Guido A. Rodriguez L. Nieto e hijo de inmigrantes.,@Guidoale1961,,4,9,,774,https://twitter.com/Guidoale1961/status/1786945144438034776,https://twitter.com/Guidoale1961,"Usa el link de abajo, introduce tu número de cédula y fecha de nacimiento, verifica el lugar y la mesa donde te toca votar, mañana domingo, 5 de mayo.  Infórmate de la propuesta electoral y vota informado para que en los proximos 5 años des seguimiento.

https://verificate.te.gob.pa",4 may.,2024-05-05T02:24:56.000Z
Cesar Kam (Nieto de inmigrantes),@kamot,,,,,1,https://twitter.com/kamot/status/1787573203151520039,https://twitter.com/kamot,Esta que tiene en la cabeza... Cuchifrito,6 may.,2024-05-06T20:00:37.000Z
Giulia De Sanctis- hija de inmigrantes,@Gdesanctis,,,,,156,https://twitter.com/Gdesanctis/status/1788753777832436122,https://twitter.com/Gdesanctis,Impensable!!!,9 may.,2024-05-10T02:11:48.000Z
Lord_kir17,@lord_kir17,,2,8,,310,https://twitter.com/lord_kir17/status/1788995133335032052,https://twitter.com/lord_kir17,"Como panameño estoy totalmente de acuerdo con esa medida. Ya está bueno de usar esa ruta para que bandas y pandillas hagan riqueza a costas de los inmigrantes, además esa es un parque protegido. Colombia debe hacer su parte, porque Panamá va actuar y cerrar eso.",10 may.,2024-05-10T18:10:52.000Z
Giulia De Sanctis- hija de inmigrantes,@Gdesanctis,,,,,96,https://twitter.com/Gdesanctis/status/1788037679700946977,https://twitter.com/Gdesanctis,Impresentable!!,7 may.,2024-05-08T02:46:17.000Z
