Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Whitentacion,@whitentacion,,,,1,13,https://twitter.com/whitentacion/status/1787104771272237517,https://twitter.com/whitentacion,Y yo a mi esposa por una mujer inteligente,5 may.,2024-05-05T12:59:14.000Z
Deb,@deborahsofia25,,,,,27,https://twitter.com/deborahsofia25/status/1787677507488976904,https://twitter.com/deborahsofia25,cada vez que una mujer se pone tetas muere un hada,6 may.,2024-05-07T02:55:05.000Z
@javiernieto22,@javiernieto22,,,,,39,https://twitter.com/Javiernibra22/status/1789083716473500108,https://twitter.com/Javiernibra22,El hombre llega hasta donde la mujer se lo permite,10 may.,2024-05-11T00:02:52.000Z
bujufer,@bujufer,,,1,1,123,https://twitter.com/bujufer/status/1789517706825179627,https://twitter.com/bujufer,Es un factor común que el hombre siempre tenga ganas y a la mujer después de un par de años le baje el flow?  Pero cuando llega algo nuevo es como si reiniciara el chip? Alguien me puede explicar eso,11 may.,2024-05-12T04:47:23.000Z
Puerco Potter,@anthonyramosv_,https://pbs.twimg.com/ext_tw_video_thumb/1787103901176541185/pu/img/b7dtlMqsWmbc52HS.jpg,,2,,93,https://twitter.com/anthonyramosv_/status/1787203160919994587,https://twitter.com/anthonyramosv_,QUE MUJER TAN BELLA HE INTELIGENTE,5 may.,2024-05-05T19:30:12.000Z
ALX MGG★,@alexgolanc,,,1,,15,https://twitter.com/alexgolanc/status/1789133308565012755,https://twitter.com/alexgolanc,Yo por que seguia a esa mujer tan imbecil,10 may.,2024-05-11T03:19:55.000Z
Bini,@BiniV13,https://pbs.twimg.com/media/GM705FBXcAAXP7L?format=jpg&name=small,,,,47,https://twitter.com/BiniV13/status/1787665347232837862,https://twitter.com/BiniV13,Mi mujer,6 may.,2024-05-07T02:06:46.000Z
Wilberth Hurtado,@Wilberthhurtad0,"https://pbs.twimg.com/media/GM8SBgRWoAAqXwo?format=jpg&name=small, https://pbs.twimg.com/media/GM8SBgRWoAAqXwo?format=jpg&name=small",,5,,230,https://twitter.com/Wilberthhurtad0/status/1787886644986536028,https://twitter.com/Wilberthhurtad0,"Muy orgulloso de ti amiga, además de ser la más joven, fue la única mujer de la papeleta.",7 may.,2024-05-07T16:46:08.000Z
Fatima,@FatiidelC28,,,,2,127,https://twitter.com/FatiidelC28/status/1787691872179360232,https://twitter.com/FatiidelC28,Porque que le siguen dando tarima a esa mujer con los dientes separados?,6 may.,2024-05-07T03:52:10.000Z
Evysabel,@evysabellav,,,,,26,https://twitter.com/evysabellav/status/1788267534111949248,https://twitter.com/evysabellav,Cuantas lagrimas mujer llore por ti,8 may.,2024-05-08T17:59:39.000Z
