Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
**DARK_LEONA22**,@Anamaturana22,,1,14,10,571,https://twitter.com/Anamaturana22/status/1787418092886253970,https://twitter.com/Anamaturana22,"¿Y si hablamos de que PINEDA sacó el PU TO MEDIO COSCIENTE en SM y se pudo REELEGIR porque su estúpido CLIENTELISMO y ser un mafioso puede más q la razón ?
O 
¿Ya de plano mejor nos tiramos del puente de las Américas por turnos, empezando con la letra A.

Ah coño,YO misma soy..",6 may.,2024-05-06T09:44:16.000Z
Armando,@Boogiepop_1112,,3,4,,215,https://twitter.com/Boogiepop_1112/status/1787300371884396993,https://twitter.com/Boogiepop_1112,No es democracia si ustedes son unos imbéciles que dejaron a un estúpido correr cuando no llenaba los requisitos,5 may.,2024-05-06T01:56:29.000Z
Luigi,@lkarra08,,,1,,16,https://twitter.com/lkarra08/status/1787505071787307425,https://twitter.com/lkarra08,Me quedo con la satisfacción que me da ver la cara de Gaby de estúpido,6 may.,2024-05-06T15:29:54.000Z
𝒈𝒊𝒔𝒆𝒍𝒍,@gisellariadna_,,,2,,86,https://twitter.com/gisellariadna_/status/1787261936477884743,https://twitter.com/gisellariadna_,el panameño es estúpido. que pena.,5 may.,2024-05-05T23:23:46.000Z
ed,@r219905,,,,,328,https://twitter.com/r219905/status/1788215978020483453,https://twitter.com/r219905,Fren JAJAJAJA este man más estupido no puede ser y cree q los demás son los que están mal,9h,2024-05-08T14:34:47.000Z
M,@medardito,,129,614,36,21 mil,https://twitter.com/medardito/status/1787580391353651348,https://twitter.com/medardito,"Independientemente de si Mulino fuera o no nuestro candidato favorito y de q no esperamos nada bueno de él, es estúpido desear que haga un mal gobierno solo para demostrar que teníamos razón, sabiendo q nuestros próximos 5 años dependen directamente de si hace bien o no las cosas",6 may.,2024-05-06T20:29:11.000Z
𝓜𝓻. 𝓢𝓽𝓪𝓹𝓵𝓮𝓼,@MrStaples_,,1,5,1,346,https://twitter.com/MrStaples_/status/1787241819014623296,https://twitter.com/MrStaples_,"Cha, el Panameño es estúpido",5 may.,2024-05-05T22:03:49.000Z
Eduardito,@eduardxh,,,,,46,https://twitter.com/eduardxh/status/1787324258479120789,https://twitter.com/eduardxh,Toy pa cuadrarme con cualquier Mulinista estupido,5 may.,2024-05-06T03:31:24.000Z
Ali,@aileen_janice,,,,,30,https://twitter.com/aileen_janice/status/1787006711242395843,https://twitter.com/aileen_janice,"Lo más estúpido que leí, Isa estaba para que le echaran hace rato, que agradezca que duro bastante, ya era hora si la tipa se arma películas solita, tan obsesionada con comerse a alguno que llego al límite de ACOSAR.",5 may.,2024-05-05T06:29:35.000Z
amerikkka most wanted,@saraathv,,2,3,,149,https://twitter.com/saraathv/status/1787239100283593113,https://twitter.com/saraathv,gana mulino y el primer estúpido o estúpida que se queje de no tener agua de no tener plata o no encuentra trabajo le grito en su weputa cara de cholo,5 may.,2024-05-05T21:53:01.000Z
Dana⋆,@Danacrb,,,1,,86,https://twitter.com/Danacrb/status/1787293491594179006,https://twitter.com/Danacrb,El panameño es estupido.,5 may.,2024-05-06T01:29:09.000Z
𝓚.,@k3ri_,"https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785271652567113729/pu/img/KKXCN4XhYWpP91zj.jpg",,1,,203,https://twitter.com/k3ri_/status/1785395796218663395,https://twitter.com/k3ri_,Él que se cree esto definitivamente es estúpido,30 abr.,2024-04-30T19:48:23.000Z
Ashley,@ashley_ngv,,,1,,12,https://twitter.com/ashley_ngv/status/1787295274760602029,https://twitter.com/ashley_ngv,"El panameño es ignorante, estupido, conformista con la miseria CUANDO CHUCHA CAMBIARAN LA HP MENTALIDAD DE MIERDA QUE TIENEN",5 may.,2024-05-06T01:36:14.000Z
José caraballo,@jjcc1391,,,2,,119,https://twitter.com/jjcc1391/status/1787465620205830492,https://twitter.com/jjcc1391,Yo estoy libre disque me voy a parar a ver cómo va y me acuesto ahora veo que sacaron a cuerpo estúpido y se me quito el sueño,6 may.,2024-05-06T12:53:08.000Z
Omaris Alvarez,@Omarisar,,,,,14,https://twitter.com/Omarisar/status/1787979337704104322,https://twitter.com/Omarisar,Que hace ese viejo estúpido que no está ni aquí en Panamá opinando verg#sss,7 may.,2024-05-07T22:54:27.000Z
Andres David Puche A.,@AndresPuche09,,,,,1,https://twitter.com/AndresPuche09/status/1788356181842440602,https://twitter.com/AndresPuche09,"Cómo habla este estúpido jajajajajsj pobre infeliz ponerse a estudiar para terminar siendo un pobre miserable y arrastrado que sigue órdenes sin criterio ,que lastima payasin!",12min,2024-05-08T23:51:54.000Z
Edgar A. Yssa,@YssaEdgar,,,,,7,https://twitter.com/YssaEdgar/status/1787590927550120281,https://twitter.com/YssaEdgar,"No les dan educación de calidad,los humillan negandole cubrir sus necesidades básicas, no trabajan su razonamiento critico, los vuelven dependientes para al final decirles,No dejes que nadie decida por ti,tu tienes el poder de decidir?o sea!Lo mas estupido que he visto en mi vida",6 may.,2024-05-06T21:11:03.000Z
Stephany Alexandra,@phany2395,,,,,50,https://twitter.com/phany2395/status/1788216898124910887,https://twitter.com/phany2395,"Alguien me explica a ver si es que yo soy brutita  De que sirve tener 7 casetas de cobro en el corredor (ejmpAtlapa) si al final solo son tres carriles. 
El embotellamiento en hora pico es estúpido y no podemos dejar de mencionar el juega vivo",9h,2024-05-08T14:38:26.000Z
Luis Carlos Chacón,@lcchacon21,,1,10,1,652,https://twitter.com/lcchacon21/status/1785657939409219874,https://twitter.com/lcchacon21,"¿Qué hacemos nosotros, los cuecos y maricones, para ganarnos insultos accidentales como estos? ¿Por qué una “cuecada” aún es un ataque contra la inteligencia, valentía o importancia de algo? ¿Acaso yo soy estúpido, cobarde, o irrelevante?

No. Paren el estigma. Mejoren su debate.",1 may.,2024-05-01T13:10:03.000Z
Sr. Agrio,@SrAgrioo,,,3,1,166,https://twitter.com/SrAgrioo/status/1788224940795179268,https://twitter.com/SrAgrioo,Que estúpido comentario sin coherencia,8h,2024-05-08T15:10:24.000Z
Mr. Rugliancich,@Gabodxt507,,2,5,,340,https://twitter.com/Gabodxt507/status/1787299462529815022,https://twitter.com/Gabodxt507,"Mi problema con los que aman a Lombana, es que tienen ínfulas de superioridad y todo el que no comparte sus ideales es “retrasado” o estúpido. Triste de verdad, pero bueno.",5 may.,2024-05-06T01:52:52.000Z
Tomás.,@507Gong,,3,5,,286,https://twitter.com/507Gong/status/1787283704647168361,https://twitter.com/507Gong,"Estoy dejando de seguir a cualquier estúpido que esté subiendo vainas de Mulino, idiotas de la fokin pinga chuchas de su madre loco",5 may.,2024-05-06T00:50:15.000Z
Paolo C.,@PaoloC8200,,1,5,4,199,https://twitter.com/PaoloC8200/status/1786908048662905050,https://twitter.com/PaoloC8200,"Un estúpido diciendo estupideces, y creen que por escribir esto la están botando https://x.com/eljoshyyyyy/st/eljoshyyyyy/status/1786850531325227032…",4 may.,2024-05-04T23:57:32.000Z
Jose Tordecilla,@Torde29,,,1,1,22,https://twitter.com/Torde29/status/1787037612760310217,https://twitter.com/Torde29,Dios no puedo dormir solo de pensar que mi país pueda ser tan estúpido de escoger a Mulino como presidente.,5 may.,2024-05-05T08:32:23.000Z
miralles.eth,@luiscorleone12,,1,2,,299,https://twitter.com/luiscorleone12/status/1787268899337392288,https://twitter.com/luiscorleone12,No hay como defender el voto estúpido,5 may.,2024-05-05T23:51:26.000Z
BAD TOBBY,@ImTobbyKey,,,,,71,https://twitter.com/ImTobbyKey/status/1787150580663640485,https://twitter.com/ImTobbyKey,Ese Gerardo es un estúpido…,5 may.,2024-05-05T16:01:16.000Z
Gueisha,@Gueisha3,,10,20,11,786,https://twitter.com/Gueisha3/status/1785462960636223925,https://twitter.com/Gueisha3,Una hora de discurso tan aburrido de promesas falsas de demagogia de tanto bla bla bla bla bla rofeos falacia así mantienen estúpido el pueblo panameño estos falsos independientes que convirtieron en políticos de siempre como dicen lombana que denuncia no quiero payasos de circo,30 abr.,2024-05-01T00:15:16.000Z
Carlos,@scharlezs,,3,15,5,613,https://twitter.com/scharlezs/status/1787604255550951726,https://twitter.com/scharlezs,"Mayer ta algo ponchi pero no creo sea un total estúpido ni tampoco tiene que trabajar solo. Si así lo desea, puede rodearse de gente capaz y con la guía de su vice creo yo al menos mejor labor que fábrega puede hacer, who knows hasta rivalizar con la de blandón y arreglar Varg..",6 may.,2024-05-06T22:04:01.000Z
Joc | A&W,@tacotruckxbb,,,1,,6,https://twitter.com/tacotruckxbb/status/1787130007510278207,https://twitter.com/tacotruckxbb,"7 porque eres estúpido, corrupto, ignorante de tu historia e inmoral",5 may.,2024-05-05T14:39:31.000Z
La Yissita,@yissydonoso,"https://pbs.twimg.com/ext_tw_video_thumb/1786169239239335936/pu/img/aOzmqnG9mNAypNmZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786169239239335936/pu/img/aOzmqnG9mNAypNmZ.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1786169239239335936/pu/img/aOzmqnG9mNAypNmZ.jpg",,1,1,124,https://twitter.com/yissydonoso/status/1786418552997572608,https://twitter.com/yissydonoso,Lo más estúpido que leí. Mujer hazte lo que quieras y no tienes que pedirle permiso a nadie.,3 may.,2024-05-03T15:32:27.000Z
,@gyalgeminis,,3,12,,257,https://twitter.com/gyalgeminis/status/1787290349817278879,https://twitter.com/gyalgeminis,"Mulino está claro de que el pueblo panameño es estúpido, ni se tuvo que esforzar por hacer algo bien y ahí está con la mayoría de votos",5 may.,2024-05-06T01:16:40.000Z
mei,@meibisrods,,,,,114,https://twitter.com/meibisrods/status/1787833148530679951,https://twitter.com/meibisrods,"Yo creo que esta man no es real y este es una cuenta callcenter, es imposible que alguien sea tan estúpido.",7 may.,2024-05-07T13:13:33.000Z
Edgar A. Yssa,@YssaEdgar,https://pbs.twimg.com/amplify_video_thumb/1786560270736769024/img/Z_MibesYw8XgqT4x.jpg,,,,140,https://twitter.com/YssaEdgar/status/1786725907010318755,https://twitter.com/YssaEdgar,"Si el la invitó, el debe pagar. No importa si ella quiera coger o no. Si fue algo de ambos, ella debe pagar su parte, ósea el no esta obligado a pagarle.Pero tomar la decision de si divide la cuenta en base a si ella acepta ir a la casa de el o no.El man es un semejante estupido!",4 may.,2024-05-04T11:53:46.000Z
Edgar A. Yssa,@YssaEdgar,,,,,16,https://twitter.com/YssaEdgar/status/1787592855155781657,https://twitter.com/YssaEdgar,"No les dan educación de calidad,los humillan negándole cubrir sus necesidades básicas, no trabajan su razonamiento crítico, los vuelven dependientes para al final decirles,No dejes que nadie decida por ti,tu tienes el poder de decidir? es lo mas estupido que he visto en mi vida",6 may.,2024-05-06T21:18:43.000Z
ED,@EdwinEzequiel_,"https://pbs.twimg.com/ext_tw_video_thumb/1785829667833851904/pu/img/uiXjj_mUdRHQ50AS.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785829667833851904/pu/img/uiXjj_mUdRHQ50AS.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1785829667833851904/pu/img/uiXjj_mUdRHQ50AS.jpg",4,2,,320,https://twitter.com/EdwinEzequiel_/status/1785869304371552367,https://twitter.com/EdwinEzequiel_,Imagínate confundir SEXO con GÉNERO DE IDENTIDAD… así de estúpido  @gabycarrizoj,1 may.,2024-05-02T03:09:56.000Z
Antonelli Stevenson,@AntoSt17,,,,,52,https://twitter.com/AntoSt17/status/1786856816787292319,https://twitter.com/AntoSt17,Para la pinga la democracia si mi voto vale lo mismo que el de un ignorante mediocre que es capaz de conformarse con gobierno corrupto pero que hizo obras o el de un estupido que vota por un partido pensando en asegurar un puesto de trabajo o dinero.,4 may.,2024-05-04T20:33:57.000Z
are,@saraclvo,,1,5,1,544,https://twitter.com/saraclvo/status/1787323051312345473,https://twitter.com/saraclvo,"si ud votó RM en cualquiera de las categorías y aparte voto por Mayer, déjeme decirle que ud es un total estúpido y su voto no debería valer",5 may.,2024-05-06T03:26:36.000Z
